"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.RES:WEO(9.0.0)","IDN.PCPIE.A","OBS_VALUE","Indonesia","All Items, Consumer price index (CPI), End-of-period (EoP)","Annual","Units","88.510","91.310","93.670","95.240","97.030","102.280","105.150","106.800","109.920","112.849","115.690","118.602","121.588","124.649","127.787"
"IMF.RES:WEO(9.0.0)","IDN.GGR_NGDP.A","OBS_VALUE","Indonesia","Revenue, General government, Percent of GDP","Annual","Units","14.180","14.921","14.268","12.352","13.719","14.950","14.995","14.583","13.278","13.841","13.773","13.863","14.004","14.128","14.231"
"IMF.RES:WEO(9.0.0)","IDN.NGDP_RPCH.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","5.070","5.174","5.019","-2.066","3.703","5.307","5.049","5.033","5.108","4.950","5.070","5.169","5.185","5.223","5.232"
"IMF.RES:WEO(9.0.0)","IDN.PPPGDP.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","2857.305","3069.919","3266.186","3223.405","3530.623","3982.440","4338.298","4669.746","5047.517","5449.145","5851.128","6254.603","6695.867","7175.058","7686.731"
"IMF.RES:WEO(9.0.0)","IDN.NGSD_NGDP.A","OBS_VALUE","Indonesia","Gross national savings, Percent of GDP","Annual","Units","32.116","31.631","31.074","31.925","31.745","30.747","30.194","30.782","30.518","29.617","29.942","30.119","30.202","30.298","30.378"
"IMF.RES:WEO(9.0.0)","IDN.GGXCNL_NGDP.A","OBS_VALUE","Indonesia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.264","-1.690","-2.091","-6.075","-4.405","-2.307","-1.642","-2.283","-2.917","-2.939","-2.935","-2.906","-2.877","-2.838","-2.833"
"IMF.RES:WEO(9.0.0)","IDN.LUR.A","OBS_VALUE","Indonesia","Unemployment rate","Annual","Units","5.500","5.340","5.280","7.070","6.490","5.860","5.320","4.910","4.850","4.850","4.800","4.700","4.700","4.700","4.700"
"IMF.RES:WEO(9.0.0)","IDN.GGX.A","OBS_VALUE","Indonesia","Expenditure, General government, Domestic currency","Annual","Billions","2234659.670","2464880.875","2590031.364","2845700.423","3076816.119","3380478.890","3475876.670","3734009.329","3857713.800","4320492.275","4636372.493","5017073.543","5446151.281","5904380.139","6406306.537"
"IMF.RES:WEO(9.0.0)","IDN.GGXCNL.A","OBS_VALUE","Indonesia","Net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","-307670.350","-250783.795","-331001.354","-938161.983","-747800.789","-451918.340","-343009.670","-505465.339","-694788.800","-756832.303","-814438.914","-869377.305","-928211.211","-987515.565","-1063512.023"
"IMF.RES:WEO(9.0.0)","IDN.GGXONLB.A","OBS_VALUE","Indonesia","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Annual","Billions","-91102.350","7168.233","-55480.189","-624073.861","-404305.405","-65577.540","96872.330","-17038.917","-180393.900","-171736.627","-180617.893","-180354.703","-188545.325","-183026.430","-204406.479"
"IMF.RES:WEO(9.0.0)","IDN.GGXWDN.A","OBS_VALUE","Indonesia","Net debt, General government, Domestic currency","Annual","Billions","3436206.100","3955757.526","4280410.849","5579692.828","6425691.549","7304331.235","7715044.141","8333488.621","9213087.930","10121246.911","11037383.745","12007909.330","13037441.516","14126410.549","15291544.693"
"IMF.RES:WEO(9.0.0)","IDN.NGDP_R.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Constant prices, Domestic currency","Annual","Billions","9912928.100","10425851.900","10949155.400","10722999.300","11120059.700","11710223.200","12301452.600","12920532.400","13580524.700","14252796.151","14975380.147","15749522.754","16566094.223","17431344.457","18343268.382"
"IMF.RES:WEO(9.0.0)","IDN.BCA_NGDPD.A","OBS_VALUE","Indonesia","Current account balance (credit less debit), Percent of GDP","Annual","Units","-1.595","-2.939","-2.706","-0.419","0.296","1.002","-0.149","-0.615","-0.101","-1.060","-0.910","-0.775","-0.785","-0.775","-0.784"
"IMF.RES:WEO(9.0.0)","IDN.BCA.A","OBS_VALUE","Indonesia","Current account balance (credit less debit), US dollar","Annual","Billions","-16.196","-30.633","-30.279","-4.433","3.511","13.215","-2.042","-8.584","-1.454","-16.328","-15.099","-13.880","-15.148","-16.133","-17.602"
