Jenis Bahan Galian,Volume Produksi Pertambangan Bahan Galian (M3),,,,,,,,,,,,
,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024
Pasir,252746435,309448774,261691048,302439255,162284041,152666283,251204932,105299863,67437616,67410742,63770119,49661461,66026203
Batu,83668562,89590918,84113959,104276218,22945362,29891362,-,-,-,-,-,-,-
Andesit,5980898,15614556,15726758,13864769,7033414,11002801,-,-,-,-,-,-,-
Kerikil,18460348,16436700,30091653,37508536,7735614,10132779,13532696,17034613,14802482,16101946,14844943,11405476,18590562
Batu Kapur,12391563,5067234,7835405,13317839,4288910,4383619,7256730,27695416,9718944,6748418,8336016,9901294,12975374
Pasir Kwarsa,1145262,1217808,1828492,2446715,1233893,2252865,1603909,2187939,1875610,2014724,3072399,3206719,14933252
Marmer,865409,678610,754696,707163,527675,104487,135916,1252830,187793,367563,71490,110087,92521
Tanah Liat,5643143,9867236,8545141,7729717,1932904,5728285,2872609,2616930,3555291,9070883,7274520,6398231,8749294
Tanah,40036033,19105218,21730810,27335816,5332318,5451220,3961307,25938053,3133320,8275473,14188795,8859488,19057578
Batu Lain,19457199,7784140,15007423,12332312,2628613,8770801,-,-,-,-,-,-,-
Batu Apung,169338,105732,433010,689208,76351,309126,-,-,-,-,-,-,-
Feldspar,676504,285745,588685,566979,463404,1000382,288203,184924,110526,120477,125273,171453,281447
Trass,402909,2589600,726189,2267872,-,-,-,-,-,-,-,-,-
Kaolin,254592,239724,284583,706297,261968,283291,526297,1059455,629247,603093,375127,619084,1693721
Zeolite,114098,130592,116600,102000,92250,61100,-,-,-,-,-,-,-
Batu dan Andesit,-,-,-,-,-,-,55609587,45429336,37934605,39376264,40656472,36741365,50266953
Granit,-,-,-,-,-,-,-,15475561,3557268,5319892,4523883,4270637,3446143
Lainnya,-,-,-,-,-,-,7353975,7302706,2876868,4382370,2979205,4047338,7750162
,,,,,,,,,,,,,
Catatan,"Tahun 2024 angka sementara<ul><li>Batu, Andesit dan Batu Lain digabung menjadi Batu dan Andesit</li>",<li>Batu Apung dan Zeolit masuk Lainnya</li></ul>,,,,,,,,,,,
